GO_term,locusName,fx
GO:0016787,Solyc11g006580,Molecular Function:hydrolase activity
GO:0016787,Solyc10g038130,Molecular Function:hydrolase activity
GO:0016787,Solyc01g067390,Molecular Function:hydrolase activity
GO:0016787,Solyc07g055860,Molecular Function:hydrolase activity
GO:0016787,Solyc12g096560,Molecular Function:hydrolase activity
GO:0016787,Solyc06g068900,Molecular Function:hydrolase activity
GO:0016787,Solyc04g080920,Molecular Function:hydrolase activity
GO:0016787,Solyc07g051980,Molecular Function:hydrolase activity
GO:0016787,Solyc10g086480,Molecular Function:hydrolase activity
GO:0016787,Solyc02g082190,Molecular Function:hydrolase activity
GO:0016787,Solyc04g016490,Molecular Function:hydrolase activity
GO:0016787,Solyc02g082230,Molecular Function:hydrolase activity
GO:0016787,Solyc12g010180,Molecular Function:hydrolase activity
GO:0016787,Solyc10g080760,Molecular Function:hydrolase activity
GO:0016787,Solyc11g011360,Molecular Function:hydrolase activity
GO:0016787,Solyc06g054250,Molecular Function:hydrolase activity
GO:0016787,Solyc04g082790,Molecular Function:hydrolase activity
GO:0016787,Solyc01g099110,Molecular Function:hydrolase activity
GO:0016787,Solyc05g012260,Molecular Function:hydrolase activity
GO:0016787,Solyc10g008770,Molecular Function:hydrolase activity
GO:0016787,Solyc08g075390,Molecular Function:hydrolase activity
GO:0016787,Solyc12g015700,Molecular Function:hydrolase activity
GO:0016787,Solyc11g072970,Molecular Function:hydrolase activity
GO:0016787,Solyc09g009340,Molecular Function:hydrolase activity
GO:0016787,Solyc01g068380,Molecular Function:hydrolase activity
GO:0016787,Solyc11g027840,Molecular Function:hydrolase activity
GO:0016787,Solyc03g043860,Molecular Function:hydrolase activity
GO:0016787,Solyc07g065020,Molecular Function:hydrolase activity
GO:0016787,Solyc08g075030,Molecular Function:hydrolase activity
GO:0016787,Solyc03g025580,Molecular Function:hydrolase activity
GO:0016787,Solyc06g072420,Molecular Function:hydrolase activity
GO:0016787,Solyc01g110050,Molecular Function:hydrolase activity
GO:0016787,Solyc01g098140,Molecular Function:hydrolase activity
GO:0016787,Solyc02g078400,Molecular Function:hydrolase activity
GO:0016787,Solyc01g068280,Molecular Function:hydrolase activity
GO:0016787,Solyc07g053070,Molecular Function:hydrolase activity
GO:0016787,Solyc06g054410,Molecular Function:hydrolase activity
GO:0016787,Solyc01g097970,Molecular Function:hydrolase activity
GO:0016787,Solyc08g029120,Molecular Function:hydrolase activity
GO:0016787,Solyc12g095990,Molecular Function:hydrolase activity
GO:0016787,Solyc03g025600,Molecular Function:hydrolase activity
GO:0016787,Solyc00g041220,Molecular Function:hydrolase activity
GO:0016787,Solyc05g006590,Molecular Function:hydrolase activity
GO:0016787,Solyc06g082100,Molecular Function:hydrolase activity
GO:0016787,Solyc07g009460,Molecular Function:hydrolase activity
GO:0016787,Solyc00g128870,Molecular Function:hydrolase activity
GO:0016787,Solyc03g019900,Molecular Function:hydrolase activity
GO:0016787,Solyc05g008910,Molecular Function:hydrolase activity
GO:0016787,Solyc05g006220,Molecular Function:hydrolase activity
GO:0016787,Solyc04g056400,Molecular Function:hydrolase activity
GO:0016787,Solyc08g075060,Molecular Function:hydrolase activity
