"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g011550",0,0,0,0,0,0
"Solyc00g011560",0,0,0,0,0,0
"Solyc00g011660",261,976,61,783,38,124
"Solyc00g011670",0,0,0,0,0,0
"Solyc00g011870",0,0,0,0,0,0
"Solyc00g011880",100,93,108,90,179,140
"Solyc00g011890",683,4066,1140,6081,1453,21169
"Solyc00g012090",0,0,0,0,0,0
"Solyc00g012310",2,2,1,0,2,0
"Solyc00g012430",1,70,15,4,0,9
"Solyc00g012440",203,26355,6027,1557,278,3461
"Solyc00g012540",26,6,28,5,21,0
"Solyc00g012640",0,0,0,0,0,0
"Solyc00g012650",0,0,0,0,0,0
"Solyc00g012660",0,0,0,0,0,0
"Solyc00g012670",0,0,0,0,0,0
"Solyc00g012680",0,0,0,0,0,0
"Solyc00g012690",0,0,0,0,0,0
"Solyc00g012700",0,0,1,0,0,0
"Solyc00g012800",0,2,3,15,0,4
"Solyc00g012900",0,0,0,0,0,0
"Solyc00g013000",0,0,0,0,0,0
"Solyc00g013100",21,22,19,26,11,34
"Solyc00g013110",62,134,54,263,53,192
"Solyc00g013120",849,2493,1485,6634,962,7052
"Solyc00g013130",840,2755,1396,4017,1308,9196
"Solyc00g013140",7890,13159,7255,19585,9546,34556
"Solyc00g013150",1,5,0,4,4,6
"Solyc00g013160",437,704,550,1995,450,1290
"Solyc00g013170",0,1,0,5,0,3
"Solyc00g013180",4774,13069,3487,10144,7530,25566
"Solyc00g013190",6,182,155,1422,10,920
"Solyc00g013320",0,0,1,0,0,0
"Solyc00g013330",1,0,2,0,0,0
"Solyc00g013770",0,0,0,0,0,0
"Solyc00g014170",0,0,0,0,0,0
"Solyc00g014180",0,0,0,0,0,0
"Solyc00g014190",0,0,0,0,0,0
"Solyc00g014290",0,0,0,0,0,0
"Solyc00g014390",0,0,0,0,1,0
"Solyc00g014790",17,24,16,85,14,55
"Solyc00g014800",13,13,11,39,4,31
"Solyc00g014810",0,1,0,3,0,0
"Solyc00g014820",14,44,45,83,27,130
"Solyc00g014830",15255,34310,22984,64119,18662,72697
"Solyc00g014840",0,10,3,9,8,7
"Solyc00g014850",1730,3915,3676,9886,2116,6875
"Solyc00g014860",58,42,73,60,62,41
"Solyc00g014960",0,0,0,0,0,0
"Solyc00g014970",0,0,0,0,0,0
"Solyc00g014980",0,0,0,0,0,0
"Solyc00g014990",0,0,0,0,0,0
"Solyc00g015000",0,0,0,0,0,0
"Solyc00g015600",0,0,0,0,0,0
"Solyc00g015610",0,0,1,0,0,0
"Solyc00g015720",0,0,0,0,0,0
"Solyc00g015730",0,0,0,0,0,0
"Solyc00g015740",0,0,0,0,0,0
"Solyc00g015750",0,0,0,0,0,0
"Solyc00g015760",0,0,0,0,0,0
"Solyc00g015770",0,0,0,0,0,0
"Solyc00g016470",0,0,0,0,0,0
"Solyc00g016480",0,0,0,0,0,0
"Solyc00g016490",0,0,0,0,0,0
"Solyc00g016590",0,0,0,0,0,0
"Solyc00g016790",0,1,2,6,0,3
"Solyc00g016890",0,0,0,0,0,0
"Solyc00g016900",0,0,0,0,0,0
