"gene","A3","A11","A15","A23","A27","A35"
"Solyc09g014520",36,170,18,214,92,177
"Solyc09g064280",448,347,192,344,607,342
"Solyc09g064500",8,41,12,27,22,21
"Solyc09g065910",2,26,5,0,21,19
"Solyc09g066460",1135,1380,684,1051,1611,1277
"Solyc09g066480",1528,1235,791,1579,2062,1112
"Solyc09g072670",534,550,440,489,936,739
"Solyc09g074510",1996,1751,1035,2268,2767,1755
"Solyc09g075140",471,526,352,803,1076,225
"Solyc09g075810",119,1844,286,3529,270,1413
"Solyc09g075850",922,1270,662,1112,1421,1327
"Solyc09g090570",4,1,0,0,0,1
"Solyc09g091960",1630,157,603,112,227,891
"Solyc10g006130",93,152,29,244,119,122
"Solyc10g006230",3,65,0,14,6,13
"Solyc10g007600",0,14,1,5,11,10
"Solyc10g007690",41,41,16,0,4,13
"Solyc10g054780",143,48,117,154,258,63
"Solyc10g075160",0,2,0,0,0,1
"Solyc10g077120",2,49,7,6,35,30
"Solyc10g081980",6,27,1,78,2,34
"Solyc10g084440",29,37,20,12,43,29
"Solyc10g085740",2141,29,796,0,226,834
"Solyc10g085750",6580,12930,3352,13249,7565,13217
"Solyc11g010850",92,567,60,459,242,656
"Solyc11g011850",215,186,70,331,195,182
"Solyc11g012620",501,713,382,623,724,650
"Solyc11g013310",1093,1547,790,606,999,750
"Solyc11g022590",1,1,2,0,3,0
"Solyc11g045270",98,82,55,145,142,94
"Solyc11g066040",515,167,180,113,241,352
"Solyc11g067260",23,99,17,161,66,80
"Solyc11g068950",2,27,0,0,3,13
"Solyc11g069430",11,11,11,9,38,23
"Solyc11g072030",134,344,138,660,161,107
"Solyc11g072050",392,347,232,419,471,395
"Solyc12g005270",3912,2888,2232,5052,3564,5215
"Solyc12g006460",3,68,3,15,18,22
"Solyc12g006620",955,664,596,794,816,850
"Solyc12g009600",2,3,2,4,5,6
"Solyc12g009680",189,230,117,137,274,141
"Solyc12g009930",9,31,8,4,8,6
"Solyc12g011340",430,330,182,473,543,273
"Solyc12g013910",184,348,127,522,305,344
"Solyc12g014170",2250,899,809,879,1445,1450
"Solyc12g017460",24,40,41,77,347,21
"Solyc12g019550",0,6,0,0,0,0
"Solyc12g042920",381,374,314,564,624,317
"Solyc12g042930",0,2,0,0,4,2
"Solyc12g042990",875,785,503,1029,1384,813
"Solyc12g044280",3,4,11,0,6,2
"Solyc12g044330",9,9,12,7,42,23
"Solyc12g044630",35,9,43,0,52,31
"Solyc12g049520",92,63,30,50,98,67
"Solyc12g096090",100,24,59,18,138,26
"Solyc12g096670",68,9,27,64,14,33
"Solyc12g098450",512,626,236,288,327,638
"Solyc12g098600",0,5,0,0,0,1
"Solyc12g099500",7,5,3,22,11,10
