"gene","A1","A10","A13","A22","A25","A34"
"Solyc09g072670",814,530,1154,955,667,540
"Solyc09g074510",1370,1196,2867,2203,1251,1349
"Solyc09g075140",144,493,211,739,161,597
"Solyc09g075810",332,126,204,513,334,127
"Solyc09g075850",771,923,997,1352,829,755
"Solyc09g090570",12,3,8,1,3,0
"Solyc09g091960",1295,203,4086,943,446,49
"Solyc10g006130",87,36,163,118,96,38
"Solyc10g006230",37,3,17,31,4,4
"Solyc10g007600",7,6,6,6,7,15
"Solyc10g007690",36,7,34,18,4,11
"Solyc10g054780",318,165,442,1056,168,305
"Solyc10g075160",4,1,5,4,1,0
"Solyc10g077120",34,21,65,47,36,25
"Solyc10g081980",29,7,20,5,16,15
"Solyc10g084440",27,35,70,64,35,41
"Solyc10g085740",1176,237,2011,719,518,22
"Solyc10g085750",8944,4767,20179,13717,9713,6179
"Solyc11g010850",153,98,140,215,171,181
"Solyc11g011850",119,72,289,266,130,118
"Solyc11g012620",450,552,919,678,768,481
"Solyc11g013310",1120,926,888,2090,1298,772
"Solyc11g022590",6,0,0,0,1,0
"Solyc11g045270",76,89,202,195,66,109
"Solyc11g066040",157,133,413,434,151,136
"Solyc11g067260",148,129,358,344,222,134
"Solyc11g068950",0,2,0,6,6,1
"Solyc11g069430",12,7,31,27,11,16
"Solyc11g072030",320,144,216,382,181,258
"Solyc11g072050",296,270,666,456,320,266
"Solyc12g005270",4508,1667,9937,5718,2206,2966
"Solyc12g006460",37,12,12,14,11,13
"Solyc12g006620",616,393,2037,1095,572,388
"Solyc12g009600",4,4,0,4,3,1
"Solyc12g009680",130,246,116,595,183,267
"Solyc12g009930",56,10,23,45,13,8
"Solyc12g011340",243,237,629,481,224,272
"Solyc12g013910",273,196,518,340,269,193
"Solyc12g014170",973,598,2348,1037,724,479
"Solyc12g017460",31,9,37,34,20,77
"Solyc12g019550",8,4,8,6,3,1
"Solyc12g042920",353,222,521,469,279,269
"Solyc12g042930",10,5,6,9,4,5
"Solyc12g042990",445,430,856,842,436,469
"Solyc12g044280",7,6,4,7,0,2
"Solyc12g044330",5,5,4,13,27,5
"Solyc12g044630",51,54,57,139,56,15
"Solyc12g049520",56,52,191,76,89,61
"Solyc12g096090",26,51,43,47,33,66
"Solyc12g096670",23,5,53,17,4,6
"Solyc12g098450",590,471,1061,630,700,474
"Solyc12g098600",0,0,0,0,0,2
"Solyc12g099500",9,7,9,17,9,12
