GO_term,locusName,fx
GO:0000786,Solyc10g044980,Cellular Component:nucleosome
GO:0000786,Solyc11g013590,Cellular Component:nucleosome
GO:0000786,Solyc10g044580,Cellular Component:nucleosome
GO:0000786,Solyc01g073970,Cellular Component:nucleosome
GO:0000786,Solyc04g049470,Cellular Component:nucleosome
GO:0000786,Solyc12g013510,Cellular Component:nucleosome
GO:0000786,Solyc06g074780,Cellular Component:nucleosome
GO:0000786,Solyc02g064630,Cellular Component:nucleosome
GO:0000786,Solyc02g038690,Cellular Component:nucleosome
GO:0000786,Solyc11g013680,Cellular Component:nucleosome
GO:0000786,Solyc12g056540,Cellular Component:nucleosome
GO:0000786,Solyc06g074790,Cellular Component:nucleosome
GO:0000786,Solyc11g007930,Cellular Component:nucleosome
GO:0000796,Solyc11g011370,Cellular Component:condensin complex
GO:0000796,Solyc03g093260,Cellular Component:condensin complex
GO:0000796,Solyc07g049680,Cellular Component:condensin complex
GO:0000796,Solyc03g093250,Cellular Component:condensin complex
GO:0000808,Solyc06g073510,Cellular Component:origin recognition complex
GO:0000808,Solyc01g094760,Cellular Component:origin recognition complex
GO:0000808,Solyc00g023270,Cellular Component:origin recognition complex
GO:0000922,Solyc02g081460,Cellular Component:spindle pole
GO:0000922,Solyc09g009140,Cellular Component:spindle pole
GO:0000922,Solyc01g007180,Cellular Component:spindle pole
GO:0000922,Solyc11g071570,Cellular Component:spindle pole
GO:0000922,Solyc04g079390,Cellular Component:spindle pole
GO:0000922,Solyc09g075190,Cellular Component:spindle pole
GO:0000930,Solyc03g111380,Cellular Component:gamma-tubulin complex
GO:0000940,Solyc08g006630,Cellular Component:outer kinetochore
GO:0005576,Solyc02g092110,Cellular Component:extracellular region
GO:0005576,Solyc01g106830,Cellular Component:extracellular region
GO:0005576,Solyc09g009130,Cellular Component:extracellular region
GO:0005576,Solyc10g083580,Cellular Component:extracellular region
GO:0005576,Solyc02g092120,Cellular Component:extracellular region
GO:0005576,Solyc04g077580,Cellular Component:extracellular region
GO:0005576,Solyc06g074540,Cellular Component:extracellular region
GO:0005576,Solyc11g066880,Cellular Component:extracellular region
GO:0005615,Solyc04g079500,Cellular Component:extracellular space
GO:0005615,Solyc04g079460,Cellular Component:extracellular space
GO:0005615,Solyc04g079440,Cellular Component:extracellular space
GO:0005615,Solyc04g079450,Cellular Component:extracellular space
GO:0005615,Solyc04g079470,Cellular Component:extracellular space
GO:0005615,Solyc04g079480,Cellular Component:extracellular space
GO:0005615,Solyc04g079370,Cellular Component:extracellular space
GO:0005615,Solyc04g079490,Cellular Component:extracellular space
GO:0005618,Solyc06g009190,Cellular Component:cell wall
GO:0005618,Solyc02g080160,Cellular Component:cell wall
GO:0005618,Solyc12g011030,Cellular Component:cell wall
GO:0005618,Solyc12g007250,Cellular Component:cell wall
GO:0005618,Solyc03g078090,Cellular Component:cell wall
GO:0005618,Solyc07g006850,Cellular Component:cell wall
GO:0005618,Solyc12g099410,Cellular Component:cell wall
GO:0005618,Solyc01g005120,Cellular Component:cell wall
GO:0005618,Solyc02g075620,Cellular Component:cell wall
GO:0005618,Solyc09g075350,Cellular Component:cell wall
GO:0005618,Solyc07g055990,Cellular Component:cell wall
GO:0005618,Solyc11g005750,Cellular Component:cell wall
GO:0005618,Solyc01g066370,Cellular Component:cell wall
GO:0005618,Solyc07g065360,Cellular Component:cell wall
GO:0005618,Solyc07g008900,Cellular Component:cell wall
GO:0005618,Solyc03g093120,Cellular Component:cell wall
GO:0005618,Solyc05g053700,Cellular Component:cell wall
GO:0005618,Solyc03g093080,Cellular Component:cell wall
GO:0005618,Solyc11g051010,Cellular Component:cell wall
GO:0005618,Solyc05g005680,Cellular Component:cell wall
GO:0005618,Solyc12g017240,Cellular Component:cell wall
GO:0005618,Solyc06g009180,Cellular Component:cell wall
GO:0005618,Solyc07g065350,Cellular Component:cell wall
GO:0005618,Solyc03g093110,Cellular Component:cell wall
GO:0005618,Solyc01g066400,Cellular Component:cell wall
GO:0005618,Solyc01g079180,Cellular Component:cell wall
GO:0005618,Solyc04g008210,Cellular Component:cell wall
GO:0005618,Solyc10g052730,Cellular Component:cell wall
GO:0005618,Solyc07g006870,Cellular Component:cell wall
GO:0005618,Solyc10g083810,Cellular Component:cell wall
GO:0005618,Solyc10g005350,Cellular Component:cell wall
GO:0005618,Solyc05g053680,Cellular Component:cell wall
GO:0005618,Solyc12g007260,Cellular Component:cell wall
GO:0005618,Solyc02g080220,Cellular Component:cell wall
GO:0005618,Solyc09g008320,Cellular Component:cell wall
GO:0005618,Solyc07g009380,Cellular Component:cell wall
GO:0005618,Solyc00g023470,Cellular Component:cell wall
GO:0005618,Solyc00g027770,Cellular Component:cell wall
GO:0005618,Solyc03g093130,Cellular Component:cell wall
GO:0005618,Solyc09g091730,Cellular Component:cell wall
GO:0005618,Solyc12g098340,Cellular Component:cell wall
GO:0005618,Solyc05g052110,Cellular Component:cell wall
GO:0005618,Solyc01g066410,Cellular Component:cell wall
GO:0005618,Solyc01g099950,Cellular Component:cell wall
GO:0005618,Solyc05g047590,Cellular Component:cell wall
GO:0005618,Solyc07g052980,Cellular Component:cell wall
GO:0005618,Solyc01g081060,Cellular Component:cell wall
GO:0005618,Solyc09g092520,Cellular Component:cell wall
GO:0005618,Solyc11g005770,Cellular Component:cell wall
