"gene","A1","A3","A5","A9","A10","A11","A13","A15","A17","A21","A22","A23","A25","A27","A29","A33","A34","A35"
"Solyc01g067290",2.01145585442618,1.05777695255917,1.21848980645603,1.41372509652584,1.57816958603714,0.714165966060523,2.5382959480619,0.881089634110327,0.851488475862195,0.826405322390862,1.31943007201161,0.756417748628975,2.30733311899034,0.889428085610829,0.673289704487054,0.323733454119224,1.2559991726276,1.12490168634787
"Solyc01g067720",8.70052727348296,12.6170150120502,6.98922418266478,15.5424195548113,25.9501798128442,14.7350833254574,7.74889978586446,16.7055068649986,8.49159814260419,12.7238949551013,20.2921897288887,11.4223512887885,17.1644652561191,13.4952917448372,8.59823747123212,23.980223607481,22.537667735998,10.5112638460704
"Solyc01g067930",12.1486605247462,15.436227022188,12.6622831677327,17.508137501522,15.65258966128,11.6950431259797,14.577896117672,13.6918346791726,18.5268186698022,11.5476092394379,13.2411188585556,12.9776572678684,21.7936456372685,12.9904604225665,17.1090465682627,22.5041202432988,24.3817720183089,7.78128631262807
"Solyc01g068060",19.4066642092277,12.8303433090752,15.8433233278328,32.9553679725759,24.5590439998307,20.7661072390502,14.7326752735842,25.6738679078099,16.8673492071128,35.396427926709,23.1016664396654,26.4120115171184,18.8520418578094,26.9824996701294,19.7663436481006,40.7271968835612,39.3672187025723,22.8253408754886
"Solyc01g068600",2.15138321821234,5.04220950508445,2.12970827041445,5.27135062078503,3.89416372534178,3.0457004903889,3.92459604277263,4.41464214934235,2.8938267766621,6.05277736747394,2.86131477935271,3.44686882783632,4.45000498391179,5.82962103938402,1.68113329940246,3.3596142969601,2.81268727761522,4.38598791285733
"Solyc01g073640",5.9119574023405,2.47838129776586,0.576029284259356,5.06689271259718,0.50469064058712,7.48905230753703,2.40606338910779,1.84505862373577,0.857246098914606,7.79696613281596,1.62354113544128,18.7663370822784,1.15345733993206,6.0442351873403,1.04581395334728,1.83331398228674,1.09062437548035,1.6377809213706
"Solyc01g073680",45.1455341609786,71.9733879620555,87.7231589386442,123.125390064524,181.479341022304,2.9289152988531,24.4567812909869,208.880228548524,29.5049956460644,79.2837232507926,222.71119625711,0.0461636458097537,23.9288259496213,171.365665013193,68.7031478871636,120.770984061067,145.209054186102,6.50609369022188
"Solyc01g080020",5.26850975481829,7.90045770263248,6.52884203070035,21.9289478614509,6.91009126206418,8.50546706988221,3.3495019567992,9.26575683890885,5.31671283763372,7.0223823033259,4.64924048264381,9.50832414616262,16.6687610046512,11.9749685401285,9.9253175461145,17.7337851572992,6.7331874714098,10.3510266760937
"Solyc01g088530",6.08279747951672,7.52869234467041,4.51238349429708,7.72352285479187,6.52933952610477,7.85247833192916,10.6083783884897,8.03531118003409,7.02056576406443,11.5283637223046,11.2571599402339,5.2295333916908,7.70090148199021,10.6891981283943,5.25477834944311,9.97467980504906,5.36924525923025,14.0705075236183
"Solyc01g088590",2.01425342863261,0.143372979282265,3.19900546877275,2.0024167431181,4.04852209275797,0.127775118044542,0.349338173487411,0.131366910676811,0.634767486873625,0.616068501810156,0.546449172151308,0,5.3381492331348,0.683771035217504,3.01154337917993,0.181002571009636,3.95010866356627,0
"Solyc01g090180",0.219033305382161,0.701577850072246,0.154606770991975,0.962667252661513,0.135459415733305,0.458517880496498,0.48434216135851,0.514262116751146,0.207077052206051,0.459375942754993,0.249571568370012,0,0.232191730104291,0.730025139233207,0.140348696501839,0.295237859700381,0,0.21043812085804
"Solyc01g094010",26.9912520145426,13.4065765398347,13.9706263352893,28.2641497101303,12.2973591326583,24.3866268773157,27.4691787097496,14.6974622352646,20.8297506330164,23.6029356674223,31.7374428000474,18.025442368113,16.5411369467774,12.7842566653158,12.5445970177634,124.259196933549,11.4096171980284,25.1183820780698
"Solyc01g094700",87.7880358386094,49.8526651978112,71.4225349703395,98.313158094325,62.5771743061363,127.182287878884,102.186554575049,67.1897907866522,130.132166177553,128.632794724558,119.088263166244,161.39940341129,106.439924538341,61.6763439043808,83.7613839456377,221.974723100443,111.373226400207,87.1943700579431
"Solyc01g096230",12.6915107034299,7.05525892726645,8.6530243686584,19.9214676502509,11.9193984749055,34.3577992114431,16.0991576941982,8.36274189602945,17.5188011025118,18.6640503042768,18.2256382063758,49.0794028628543,23.0023682390824,11.895677913065,10.8654235479758,43.0857399211506,16.6612622456952,19.978156185133
"Solyc01g096450",3.65395958527805,1.53773461149537,2.96511869693062,2.17698043593194,1.36080583219816,5.86244242566297,3.01825286825387,2.19172263459577,5.08509545032399,1.74803967167128,2.17070140760658,5.90399873697053,2.1911972054759,3.9014443567443,2.05079686468543,0.754960723666986,1.42965320188177,7.48238898145675
