"gene","A5","A9","A17","A21","A29","A33"
"Solyc09g010640",73,238,128,347,84,749
"Solyc09g011580",1,3,0,0,0,20
"Solyc09g011810",1,2,0,0,2,10
"Solyc09g014160",296,147,294,72,277,108
"Solyc09g014520",42,19,117,29,78,117
"Solyc09g064280",137,331,160,296,203,571
"Solyc09g064500",12,9,28,10,16,24
"Solyc09g065910",8,6,7,11,21,18
"Solyc09g066460",608,630,543,770,781,1177
"Solyc09g066480",549,1103,841,1630,646,2511
"Solyc09g072670",337,595,369,699,621,1287
"Solyc09g074510",556,1338,861,2018,831,3310
"Solyc09g075140",103,1018,107,1037,195,3670
"Solyc09g075810",116,101,169,133,307,2752
"Solyc09g075850",456,731,430,682,641,1680
"Solyc09g090570",1,1,0,0,1,0
"Solyc09g091960",39,202,49,222,18,249
"Solyc10g006130",43,64,87,93,76,235
"Solyc10g006230",9,5,19,2,7,7
"Solyc10g007600",1,9,0,0,4,4
"Solyc10g007690",6,9,8,5,27,6
"Solyc10g054780",127,249,295,497,242,1684
"Solyc10g075160",0,0,0,4,0,0
"Solyc10g077120",17,35,44,50,24,54
"Solyc10g081980",6,17,11,16,47,740
"Solyc10g084440",29,29,17,27,23,88
"Solyc10g085740",10,656,12,621,9,2092
"Solyc10g085750",6302,1958,7628,1267,6690,2658
"Solyc11g010850",398,75,343,110,382,115
"Solyc11g011850",51,151,105,244,83,478
"Solyc11g012620",501,200,569,226,642,260
"Solyc11g013310",600,1417,578,793,1480,6974
"Solyc11g022590",0,0,0,0,0,10
"Solyc11g045270",44,70,44,122,42,185
"Solyc11g066040",68,311,61,358,64,563
"Solyc11g067260",135,43,196,48,167,93
"Solyc11g068950",12,2,12,0,6,0
"Solyc11g069430",10,75,7,130,17,10
"Solyc11g072030",93,359,162,395,312,1656
"Solyc11g072050",160,255,201,393,204,592
"Solyc12g005270",1093,2605,1495,4498,1557,6332
"Solyc12g006460",8,18,4,0,22,74
"Solyc12g006620",395,337,587,559,448,602
"Solyc12g009600",0,5,4,0,1,1
"Solyc12g009680",70,408,68,294,179,1316
"Solyc12g009930",7,11,8,8,15,20
"Solyc12g011340",112,298,142,323,148,899
"Solyc12g013910",118,122,190,183,128,270
"Solyc12g014170",422,586,455,1168,392,889
"Solyc12g017460",3,298,16,661,12,152
"Solyc12g019550",2,1,6,0,6,2
"Solyc12g042920",174,362,277,537,298,1179
"Solyc12g042930",1,5,0,0,0,4
"Solyc12g042990",379,509,389,979,384,1384
"Solyc12g044280",0,4,2,9,1,13
"Solyc12g044330",3,322,75,645,58,810
"Solyc12g044630",6,29,8,8,9,2
"Solyc12g049520",47,52,39,75,53,69
"Solyc12g096090",67,36,36,65,79,46
"Solyc12g096670",8,10,4,11,9,3
"Solyc12g098450",512,167,402,106,636,91
"Solyc12g098600",0,0,0,0,0,0
"Solyc12g099500",2,3,5,0,5,23
