"gene","A5","A9","A17","A21","A29","A33"
"Solyc06g036420",2.86829396688815,3.99714507650717,4.61007902082966,2.62774897445175,3.00880722197582,6.35367779145103
"Solyc06g036430",12.650284318685,5.52869660066241,27.7495099858953,3.36763969021375,13.2759024502168,1.56392436032875
"Solyc06g036440",2.38931672193207,1.83921517412099,2.17449520157257,0.989801535771579,1.83528252318801,2.45681213562971
"Solyc06g036450",0,0,0,0,0,0
"Solyc06g036460",0,0,0,0,0.215259935344504,0
"Solyc06g036470",0.0343362881163152,1.71037374031921,0,0.867185500964534,0.0207798285026234,3.42268858052169
"Solyc06g036480",5.88956361201034,15.7164342582665,7.70053940145991,14.9994752271408,5.85560174738371,22.8148154258541
"Solyc06g036490",6.11206058622573,12.8619777849417,5.81858382277244,14.0443421862166,4.63445866941173,13.9696136989822
"Solyc06g036500",0,0,0,0,0,0
"Solyc06g036510",0.486790461809018,0.0721673001655093,0.0724440988987518,0,0.0981995324095404,0
"Solyc06g036520",51.1129984899469,107.529277246609,104.681722908696,148.856399240777,64.8116913902967,106.901411313798
"Solyc06g036530",0.162728425628612,0.506618582823776,0.0726516751133614,0.302192149543936,0.147721359641859,0.124298804733456
"Solyc06g036540",17.5607524051718,54.5053030197399,28.3580518715509,57.1731642087152,24.1945558469559,44.8072658405279
"Solyc06g036550",0,0,0,0,0,0
"Solyc06g036570",0,0,0.333624139665304,0,0.226117344364073,0
"Solyc06g036580",33.8403300347235,29.9967115929327,34.9380402482049,39.887613109416,20.0767250915919,23.1261783755707
"Solyc06g036590",8.26068662463788,4.59246455598696,8.29814223749339,6.32790361145003,7.10830706191787,2.31690147050326
"Solyc06g036600",33.1535737732931,6.0170903410248,37.3030216057185,3.09216930402445,23.3480956311427,1.98731662279995
"Solyc06g036610",0,0.183033007666147,0,0,0.12452839254833,0
"Solyc06g036620",6.46599326261713,15.7664865966686,10.0937239707656,21.6975888163308,4.70669733364199,18.5298740048449
"Solyc06g036630",4.63988729937789,14.8579735634872,9.11469871765341,23.4366800424075,3.93119043142768,18.9965944515189
"Solyc06g036640",0.608177782474296,1.0433161446671,0.892159606529758,1.09713780106732,0.420640526384569,6.52031533432939
"Solyc06g036650",0,0,0,0,0,0
"Solyc06g036660",0,0,0,0,0,0
"Solyc06g036670",1.39445184372375,1.3531368781033,0.792357331705098,0.8474870908192,0.920620616339442,0.435739448289938
"Solyc06g036680",4.21504761852861,3.55198430502116,1.38662533048392,2.47183734822267,2.28237194467487,0.847271149452657
"Solyc06g036690",4.52019714536945,2.6804997204332,6.00251105161086,3.09938136071022,2.52513083338818,0.442655947469143
"Solyc06g036700",11.4141227564696,4.45739206904616,5.71740192289169,2.68832506368792,8.25549990599813,1.32905278345515
"Solyc06g036710",0.869268681801818,0.601394168045911,1.0349156985536,0,0.526068923622538,0.184439978112143
"Solyc06g036720",57.3775841974512,48.7744079578842,62.4338909545806,61.8148598476524,35.6567170478226,52.7106024178459
"Solyc06g036750",0,0,0,0,0,0
"Solyc06g036770",0,0,0.367470066877727,0,0,0
"Solyc06g036780",24.3395230904509,19.7500403910396,15.2595016829286,20.1473526838721,17.9814835276512,19.2343427386991
"Solyc06g036790",8.11317436348363,10.8250950248264,1.20740164831253,16.0708663147937,5.72830605722319,2.58215969357
"Solyc06g036800",6.61279280311337,0,12.8513846676553,0,4.47278692139345,0
"Solyc06g036810",1.50442968329498,0.66910079623651,0.839583927634541,0.488910875056845,0.170711107665592,0
"Solyc06g036820",0,0,0,0,0,0
"Solyc06g036850",0,0,0,0,0,0
"Solyc06g036890",0,0,0,0,0,0
"Solyc06g042930",0,0,0,0,0,0
"Solyc06g042940",0,0,0,0,0,0
"Solyc06g042950",12.3845552928885,22.9825867898195,14.3794638478317,21.5436755559353,9.33876184897975,24.4656332805443
"Solyc06g042960",14.1423764885038,29.1711547629799,21.1792453839292,37.8433451272992,10.0413835591324,32.0673855592058
"Solyc06g042970",14.377777353009,26.5374692380765,5.13527789662038,8.81100502860131,8.48369378095081,25.1221258288342
"Solyc06g042980",19.2253820519904,24.9145669540265,17.7586701580598,36.4408457001791,15.546667217561,28.9905197658634
"Solyc06g042990",219.76120123697,455.752189088706,423.692987110019,752.928821014561,159.147285676766,524.33559273258
"Solyc06g043000",0.211911270688005,0,0,0,0.256491315995068,0.323733454119224
"Solyc06g043010",3.02086279491412,3.0095299643489,2.80528212756869,4.84690489387662,1.02378235916329,1.61522329767996
"Solyc06g043020",0,0.197332461390065,0,0,0.134257173216169,0
"Solyc06g043030",14.1197426422403,30.1138261211869,15.3349332900543,29.4231811607963,10.8341762108209,29.3947476468023
"Solyc06g043040",0,0,0,0,0,0
"Solyc06g043050",0,0,0,0,0.0918979581372705,0
"Solyc06g043060",23.6019617846797,30.5070859790562,22.7211037455176,25.7499107998399,20.9789910147655,29.1549303583086
"Solyc06g043070",20.5387938998261,24.6675613994009,18.881157820814,29.6117564727061,14.1605124303686,22.6720450815897
"Solyc06g043080",0,0.102956066812208,0,0,0,0
"Solyc06g043100",0,0.108405815699263,0,0,0.147510027224632,0
"Solyc06g043110",0,0,0,0,0,0
"Solyc06g043120",0,0,0,0,0.106738622184283,0
"Solyc06g043130",0,0,0,0,0,0
"Solyc06g043140",0.821488243168545,2.92288004527617,1.83380674647274,1.70859499634138,0.795444621253751,2.57269758476039
"Solyc06g043150",19.8548423404327,25.614911647346,28.6751077695172,34.3178068318481,15.4780639966053,9.07020022384713
"Solyc06g043160",0,0,0,0,0,0
