GO_term,locusName,fx
GO:0000272,Solyc08g082810,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc08g005780,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc08g007130,Biological Process:polysaccharide catabolic process
GO:0000272,Solyc08g077530,Biological Process:polysaccharide catabolic process
GO:0000278,Solyc04g009330,Biological Process:mitotic cell cycle
GO:0000387,Solyc01g067830,Biological Process:spliceosomal snRNP assembly
GO:0000387,Solyc03g062700,Biological Process:spliceosomal snRNP assembly
GO:0000387,Solyc06g008860,Biological Process:spliceosomal snRNP assembly
GO:0000387,Solyc03g083540,Biological Process:spliceosomal snRNP assembly
GO:0000387,Solyc09g098560,Biological Process:spliceosomal snRNP assembly
GO:0000387,Solyc06g011630,Biological Process:spliceosomal snRNP assembly
GO:0000390,Solyc05g009850,Biological Process:spliceosomal complex disassembly
GO:0000398,Solyc09g098560,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g036580,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc07g064070,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g043160,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc09g075200,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g033810,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc00g044750,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc03g082710,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc05g054880,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g083570,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc07g065800,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc03g062700,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc03g093350,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc03g098470,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc07g008880,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc11g008460,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc00g157180,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052100,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc02g014870,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc01g094310,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052140,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc01g094300,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g082360,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc11g017220,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052090,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc10g005800,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052120,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc08g078430,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc01g067830,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc00g065630,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052110,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g033800,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc11g008470,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g033790,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc01g068480,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc04g009230,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g072280,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052080,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc04g071050,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g008860,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc07g054200,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc01g099380,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc12g008370,"Biological Process:mRNA splicing, via spliceosome"
GO:0000398,Solyc06g052130,"Biological Process:mRNA splicing, via spliceosome"
GO:0000413,Solyc01g096520,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g038150,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g049430,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc01g111360,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc02g061800,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc09g065720,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc08g062700,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc01g111170,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc07g066420,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc01g010590,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g038110,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g038030,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g013580,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc01g009990,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g089200,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc02g086910,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc07g007110,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc02g092380,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc11g006070,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc06g051650,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc12g038070,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc01g108340,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc06g076970,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc03g119860,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc08g077790,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc08g067090,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc11g067090,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc09g008410,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc10g054910,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc08g006090,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc02g090480,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc10g083930,Biological Process:protein peptidyl-prolyl isomerization
GO:0000413,Solyc09g010190,Biological Process:protein peptidyl-prolyl isomerization
GO:0000723,Solyc00g042640,Biological Process:telomere maintenance
GO:0000723,Solyc10g054260,Biological Process:telomere maintenance
GO:0000723,Solyc10g054220,Biological Process:telomere maintenance
GO:0000723,Solyc01g065860,Biological Process:telomere maintenance
GO:0000723,Solyc04g017980,Biological Process:telomere maintenance
GO:0000723,Solyc02g055510,Biological Process:telomere maintenance
GO:0000723,Solyc03g044840,Biological Process:telomere maintenance
GO:0000723,Solyc07g021120,Biological Process:telomere maintenance
GO:0000723,Solyc08g028820,Biological Process:telomere maintenance
GO:0000723,Solyc05g016010,Biological Process:telomere maintenance
GO:0000723,Solyc06g011410,Biological Process:telomere maintenance
GO:0000723,Solyc05g018470,Biological Process:telomere maintenance
GO:0000723,Solyc05g024150,Biological Process:telomere maintenance
GO:0000723,Solyc08g016300,Biological Process:telomere maintenance
GO:0000723,Solyc12g027520,Biological Process:telomere maintenance
GO:0000723,Solyc12g027510,Biological Process:telomere maintenance
GO:0000723,Solyc06g034070,Biological Process:telomere maintenance
GO:0000723,Solyc07g042790,Biological Process:telomere maintenance
GO:0000723,Solyc11g031990,Biological Process:telomere maintenance
GO:0000723,Solyc05g019990,Biological Process:telomere maintenance
GO:0000723,Solyc02g044010,Biological Process:telomere maintenance
GO:0000723,Solyc01g058370,Biological Process:telomere maintenance
GO:0000723,Solyc01g028840,Biological Process:telomere maintenance
GO:0000723,Solyc00g009540,Biological Process:telomere maintenance
GO:0000723,Solyc01g017850,Biological Process:telomere maintenance
